ID;Image;Name;Reference;Category;Base price;Final price;Quantity;Status;Position;Brand
6324;https://www.mac-peche.fr//sprint-musette-truite.jpg;sprint musette truite;3352210534767;Accueil;27.420000;32.9;1;0;;
6323;https://www.mac-peche.fr//spinstarteletrout-set-daiwa.jpg;spinstarteletrout set daiwa;10001837;Accueil;20.750000;24.9;0;1;;
6322;https://www.mac-peche.fr//slide-draid-d013mm.jpg;slide draid D0.13mm;3297830367381;Accueil;36.580000;43.9;0;1;;
6321;https://www.mac-peche.fr//slide-braid-d008mm.jpg;slide braid D0.08mm;3297830367367;Accueil;36.580000;43.9;0;1;;
6320;https://www.mac-peche.fr//seau-mayatruite-1-litre.jpg;SEAU MAYATRUITE 1 LITRE;10000014;Accueil;12.460000;14.95;0;1;;
6319;https://www.mac-peche.fr//sac-a-appat-eaux-vives.jpg;sac a appat eaux vives;3297830803704;Accessoires;8.250000;9.9;2;0;;PEZON ET MICHEL
6318;https://www.mac-peche.fr//ripstop-bicolore-jaune-orange.jpg;ripstop bicolore jaune orange;3515190162218;Accessoires;4.080000;4.9;8;0;;PAFEX
6317;https://www.mac-peche.fr//ripelote-bicolore.jpg;ripelote bicolore;3515190016214;Accessoires;2.920000;3.5;4;0;;PAFEX
6316;https://www.mac-peche.fr//rigoletto-1.jpg;rigoletto 1;3515190016764;Accessoires;4.080000;4.9;4;0;;PAFEX
6315;https://www.mac-peche.fr//reversible-86-clear.jpg;reversible 86 clear;4963189712675;Accueil;7.080000;8.5;0;1;;
6314;https://www.mac-peche.fr//raquette-torent.jpg;RAQUETTE TORENT;2073100316515;Carnassier;14.920000;17.9;0;1;;CPP
6313;https://www.mac-peche.fr//raquette-plastique-filet-gris.jpg;RAQUETTE PLASTIQUE FILET GRIS;2073100253551;Carnassier;8.290000;9.95;0;1;;CPP
6312;https://www.mac-peche.fr//raquette-jmc-z40.jpg;raquette jmc Z40;3660124381729;Carnassier;23.330000;28;1;0;;JMC DECHARETTE
6311;https://www.mac-peche.fr//practis-panier-en-osier-truite.jpg;practis panier en osier truite;3352210534736;Accueil;19.920000;23.9;0;1;;
6310;https://www.mac-peche.fr//practis-musette-truite.jpg;practis musette truite;3352210534729;Accueil;14.920000;17.9;0;1;;
6309;https://www.mac-peche.fr//powerbait-sunshine-yellow.jpg;powerbait sunshine yellow;28632551318;Accueil;6.320000;7.58;0;1;;
6308;https://www.mac-peche.fr//powerbait-cheese.jpg;powerbait cheese;28632256428;Accueil;6.320000;7.58;0;1;;
6307;https://www.mac-peche.fr//pate-a-truite-rainbow.jpg;pate a truite rainbow;28632057377;Accueil;5.360000;6.43;9;0;;
6306;https://www.mac-peche.fr//pate-a-truite-fl-orange.jpg;pate a truite fl orange;28632051009;Accueil;5.360000;6.43;8;0;;
6305;https://www.mac-peche.fr//pate-a-truite-chartreuse.jpg;pate a truite chartreuse;28632051047;Accueil;5.360000;6.43;9;0;;
6304;https://www.mac-peche.fr//panier-truite-super.jpg;panier truite super;3760001037197;Accueil;20.790000;24.95;2;0;;
6303;https://www.mac-peche.fr//nuggets-salmon-flottant.jpg;NUGGETS SALMON FLOTTANT;5031745211289;Accueil;5.360000;6.43;1;0;;
6302;https://www.mac-peche.fr//nuggets-flottant-sal.jpg;NUGGETS FLOTTANT SAL;5031745210114;Accueil;5.360000;6.43;0;1;;
6301;https://www.mac-peche.fr//nuggets-flottant-garlic.jpg;NUGGETS FLOTTANT GARLIC;5031745210091;Accueil;4.920000;5.9;4;0;;
6300;https://www.mac-peche.fr//nuggets-flottant.jpg;NUGGETS FLOTTANT;5031745210190;Accueil;5.360000;6.43;2;0;;
6299;https://www.mac-peche.fr//nuggets-coulant-garlic.jpg;NUGGETS COULANT GARLIC;5031745211302;Accueil;5.360000;6.43;5;0;;
6298;https://www.mac-peche.fr//nuggets-coulant.jpg;NUGGETS COULANT;5031745210237;Accueil;5.360000;6.43;2;0;;
6297;https://www.mac-peche.fr//musette-navy.jpg;musette navy;3297830249380;Accueil;6.250000;7.5;0;1;;
6296;https://www.mac-peche.fr//monture-vairon-polyvalente-h10-3gr-rouge.jpg;monture vairon polyvalente H10 3gr rouge;10000670;Accueil;4.960000;5.95;0;1;;
6295;https://www.mac-peche.fr//monture-vairon-polyvalente-h10-3gr-noire.jpg;monture vairon polyvalente H10 3gr noire;3561940183064;Accueil;4.960000;5.95;0;1;;
6294;https://www.mac-peche.fr//monture-vairon-articulee-h10-5gr-rouge.jpg;monture vairon articulee H10 5gr rouge;3561940188069;Accueil;3.290000;3.95;2;0;;
6293;https://www.mac-peche.fr//monture-vairon-articulee-h10-5gr-noire.jpg;monture vairon articulee H10 5gr noire;3561940187062;Accueil;3.290000;3.95;0;1;;
6292;https://www.mac-peche.fr//monture-vairon-articulee-h10-3gr-rouge.jpg;monture vairon articulee H10 3gr rouge;3561940186065;Accueil;3.130000;3.76;0;1;;
6291;https://www.mac-peche.fr//monture-vairon-articulee-h10-3gr-noire.jpg;monture vairon articulee H10 3gr noire;3561940185068;Accueil;3.130000;3.76;0;1;;
6290;https://www.mac-peche.fr//monture-taille-3-cnf3g.jpg;monture taille 3 cnf.3.g;3770005021016;Accueil;8.330000;10;3;0;;
6289;https://www.mac-peche.fr//monture-taille-2-cnf2g.jpg;monture taille 2 cnf.2.g;3770005021108;Accueil;7.920000;9.5;0;1;;
6288;https://www.mac-peche.fr//monture-taille-1-cnf1v.jpg;monture taille 1 cnf.1.v;3770005021009;Accueil;7.500000;9;0;1;;
6287;https://www.mac-peche.fr//monture-n-1-par-1-souple.jpg;monture n 1 par 1 souple;3535650030222;Accueil;4.580000;5.5;0;1;;
6286;https://www.mac-peche.fr//magic-bait-saumon.jpg;magic bait saumon;3297830051198;Accueil;4.450000;5.34;2;0;;
6285;https://www.mac-peche.fr//magic-bait-jaune.jpg;magic bait jaune;3297830051136;Accueil;4.450000;5.34;5;0;;
6284;https://www.mac-peche.fr//magic-bait-blanche.jpg;magic bait blanche;3297830051143;Accueil;4.450000;5.34;4;0;;
6283;https://www.mac-peche.fr//lot-3lm-initiat-truite.jpg;lot 3LM initiat truite;3422991220576;Accueil;4.920000;5.9;0;1;;
6282;https://www.mac-peche.fr//lignes-toulousaine-bec-h-8.jpg;lignes toulousaine bec h 8;3566964520086;Accueil;2.080000;2.5;0;1;;
6281;https://www.mac-peche.fr//lignes-toulousaine-bec-h-6.jpg;lignes toulousaine bec h 6;3566964520062;Accueil;2.080000;2.5;0;1;;
6280;https://www.mac-peche.fr//ligne-toulousain-bec-h-10.jpg;ligne toulousain bec h 10;3566964520109;Accueil;2.080000;2.5;0;1;;
6279;https://www.mac-peche.fr//lest-6gr.jpg;lest 6gr;10004036;Accueil;3.750000;4.5;8;0;;
6278;https://www.mac-peche.fr//lest-4gr.jpg;lest 4gr;10004043;Accueil;3.170000;3.8;3;0;;
6277;https://www.mac-peche.fr//lancette-t.jpg;lancette t;10001134;Accessoires;4.080000;4.9;0;1;;GARBOLINO
6276;https://www.mac-peche.fr//guide-toc-taille-4.jpg;GUIDE TOC TAILLE 4;2073100799448;Accessoires;2.080000;2.5;0;1;;CPP
6275;https://www.mac-peche.fr//guide-toc-taille-3.jpg;GUIDE TOC TAILLE 3;2073100799431;Accessoires;2.080000;2.5;0;1;;CPP
6274;https://www.mac-peche.fr//guide-toc-taille-2.jpg;GUIDE TOC TAILLE 2;2073100799424;Accessoires;2.080000;2.5;7;0;;CPP
6273;https://www.mac-peche.fr//guide-toc-taille-1.jpg;GUIDE TOC TAILLE 1;2073100799417;Accessoires;2.080000;2.5;11;0;;CPP
6272;https://www.mac-peche.fr//guide-fil-orange-rond-x6-x1t2.jpg;guide fil orange rond x6 x1T2;2073100704350;Accessoires;1.040000;1.25;7;0;;CPP
6271;https://www.mac-peche.fr//guide-fil-orange-rond-x6-x1-t1.jpg;guide fil orange rond X6 X1 T1;2073100704343;Accessoires;1.040000;1.25;11;0;;CPP
6270;https://www.mac-peche.fr//guide-fil-jaune-x6-x1t2.jpg;guide fil jaune x6 x1T2;2073100704329;Accessoires;1.040000;1.25;12;0;;CPP
6269;https://www.mac-peche.fr//guide-fil-jaune-rond-x6-x1t1.jpg;guide fil jaune rond x6 x1T1;2073100704312;Accessoires;1.040000;1.25;14;0;;CPP
6268;https://www.mac-peche.fr//guide-fil-amovible-owner.jpg;guide fil amovible owner;4953873350078;Accessoires;3.960000;4.75;2;0;;PAFEX
6267;https://www.mac-peche.fr//godille-a-2-pince-lisse-n3.jpg;godille a 2 pince lisse N°3;3522975055559;Accueil;3.960000;4.75;3;0;;
6266;https://www.mac-peche.fr//godille-a-2-pince-lisse-n2.jpg;godille a 2 pince lisse N°2;3522975455120;Accueil;3.960000;4.75;0;1;;
6265;https://www.mac-peche.fr//godille-a-2-pince-lisse-n1.jpg;godille a 2 pince lisse N°1;3522975555127;Accueil;3.960000;4.75;0;1;;
6264;https://www.mac-peche.fr//godille-2.jpg;godille 2;3522970005146;Accueil;3.960000;4.75;0;1;;
6263;https://www.mac-peche.fr//godille-1.jpg;godille 1;3522970005139;Accueil;3.960000;4.75;0;1;;
6262;https://www.mac-peche.fr//flotteur-trout-20-2g.jpg;flotteur trout 20 2g;3297830477851;Accessoires;1.660000;1.99;0;1;;SENSAS
6261;https://www.mac-peche.fr//flotteur-trout-20-1g.jpg;flotteur trout 20 1g;3297830477837;Accessoires;1.660000;1.99;0;1;;SENSAS
6260;https://www.mac-peche.fr//flotteur-trout-20-15.jpg;flotteur trout 20 1.5;3297830477844;Accessoires;1.660000;1.99;0;1;;SENSAS
6259;https://www.mac-peche.fr//flotteur-toulousain-taille-2-oj.jpg;flotteur toulousain taille 2 o+j;3515190166995;Accessoires;4.080000;4.9;1;0;;PAFEX
6258;https://www.mac-peche.fr//flotteur-toulousain-taille-1-oj.jpg;flotteur toulousain taille 1 o+j;3515190166971;Accessoires;4.080000;4.9;0;1;;PAFEX
6257;https://www.mac-peche.fr//flotteur-ressort-t3-jaune.jpg;flotteur ressort T3 jaune;3515190151601;Accessoires;3.250000;3.9;1;0;;PAFEX
6256;https://www.mac-peche.fr//flotteur-ressort-t2-orange.jpg;flotteur ressort T2 orange;3515190151571;Accessoires;3.250000;3.9;0;1;;PAFEX
6255;https://www.mac-peche.fr//flotteur-ressort-t2-jaune.jpg;flotteur ressort T2 jaune;3515190151564;Accessoires;3.250000;3.9;0;1;;PAFEX
6254;https://www.mac-peche.fr//flotteur-orange-t3-ressort.jpg;flotteur orange T3 ressort;3515190151618;Accessoires;3.250000;3.9;0;1;;PAFEX
6253;https://www.mac-peche.fr//flotteur-orange-fluo-taille-4.jpg;flotteur orange fluo taille 4;3515190151656;Accessoires;3.290000;3.95;0;1;;PAFEX
6252;https://www.mac-peche.fr//flotteur-199.jpg;flotteur 1.99€;10001707;Accueil;1.660000;1.99;57;0;;
6251;https://www.mac-peche.fr//epuisette-specimen-trout-2mm.jpg;epuisette specimen trout 2mm;3297830455880;Accueil;29.080000;34.9;0;1;;
6250;https://www.mac-peche.fr//epuisette-arti.jpg;epuisette arti;10007327;En attente;16.580000;19.9;0;1;;WATER QUEEN
6249;https://www.mac-peche.fr//emerillons-rolling-triple-x10-t10.jpg;emerillons rolling triple x10 T10;10003343;Accueil;2.080000;2.5;17;0;;
6248;https://www.mac-peche.fr//emerillon-baril-x10-t20.jpg;emerillon baril x10 T20;10003336;Accueil;1.250000;1.5;22;0;;
6247;https://www.mac-peche.fr//emerillon-baril-x10-t18.jpg;emerillon baril x10 T18;10003329;Accueil;1.250000;1.5;31;0;;
6246;https://www.mac-peche.fr//emerillon-baril-x10-t16.jpg;emerillon baril x10 T16;10003312;Accueil;1.250000;1.5;42;0;;
6245;https://www.mac-peche.fr//echelle-maya-truite.jpg;echelle maya truite;10000137;Accessoires;4.750000;5.7;6;0;;CPP
6244;https://www.mac-peche.fr//degorgeoir-boule-1417-cm-x2.jpg;degorgeoir boule 14+17 cm X2;8901724321568;Accueil;2.080000;2.5;0;1;;
6243;https://www.mac-peche.fr//degorgeoir-big-fish-gm.jpg;DEGORGEOIR BIG FISH GM;3297830203351;Accueil;1.080000;1.3;0;1;;
6242;https://www.mac-peche.fr//degorgeoir-assommoir.jpg;degorgeoir assommoir;3297830249083;Accueil;2.080000;2.5;3;0;;
6241;https://www.mac-peche.fr//degoigeoir-big-fish-mm.jpg;DEGOIGEOIR BIG FISH MM;3297830203368;Accueil;1.080000;1.3;0;1;;
6240;https://www.mac-peche.fr//cpp-truite150-m-25.jpg;cpp truite150 m 25;3760013497705;Accueil;4.130000;4.96;0;1;;
6239;https://www.mac-peche.fr//cpp-truite-150m-22.jpg;cpp truite 150m 22;3760013497699;Accueil;4.130000;4.96;0;1;;
6238;https://www.mac-peche.fr//cpp-truite-150m-20.jpg;cpp truite 150m 20;3760013497682;Accueil;4.130000;4.96;0;1;;
6237;https://www.mac-peche.fr//cpp-truite-150m-18.jpg;cpp truite 150m 18;3760013497675;Accueil;4.130000;4.96;0;1;;
6236;https://www.mac-peche.fr//cpp-truite-150m-16.jpg;cpp truite 150m 16;3760013497668;Accueil;4.130000;4.96;0;1;;
6235;https://www.mac-peche.fr//combo-gt-pro-adj-t-400.jpg;combo gt pro adj t-400;22021577484;Accueil;34.920000;41.9;0;1;;
6234;https://www.mac-peche.fr//combo-advanta-adj-t-420.jpg;combo advanta adj t-420;22021605880;Accueil;49.920000;59.9;0;1;;
6233;https://www.mac-peche.fr//cloux-6gr-qte-10.jpg;cloux 6gr qté 10;10003947;Accueil;3.630000;4.36;4;0;;
6232;https://www.mac-peche.fr//cloux-4gr-qte-10.jpg;cloux 4gr qté 10;10003930;Accueil;3.250000;3.9;0;1;;
6231;https://www.mac-peche.fr//chapeau-pour-poisson-mort-5gr.jpg;chapeau pour poisson mort 5gr;3522970004927;Accueil;2.790000;3.35;3;0;;
6230;https://www.mac-peche.fr//chapeau-pour-poisson-mort-4gr-50pieces.jpg;chapeau pour poisson mort 4gr 50pieces;10001592;Accueil;23.750000;28.5;0;1;;
6229;https://www.mac-peche.fr//chapeau-pour-poisson-mort-3gr.jpg;chapeau pour poisson mort 3gr;3522970004910;Accueil;2.710000;3.25;0;1;;
6228;https://www.mac-peche.fr//chapeau-pour-poisson-mort-2gr.jpg;chapeau pour poisson mort 2gr;3522970004903;Accueil;2.460000;2.95;0;1;;
6227;https://www.mac-peche.fr//chameleon-015mm-25m.jpg;chameleon 0.15mm 25m;4021097003480;Accueil;2.000000;2.4;4;0;;
6226;https://www.mac-peche.fr//ceinture-eaux-vives-havane.jpg;ceinture eaux vives havane;3297830233860;Accueil;31.580000;37.9;0;1;;
6225;https://www.mac-peche.fr//carafe-a-vairons.jpg;carafe a vairons;3760001030297;Accueil;8.290000;9.95;0;1;;
6224;https://www.mac-peche.fr//cannes-eaux-vives-390feather-weight.jpg;cannes eaux vives 3.90feather weight;3297830563875;Cannes;199.170000;239;1;0;;PEZON ET MICHEL
6223;https://www.mac-peche.fr//buldo-reglable-bicouleur-8grs.jpg;buldo reglable bicouleur 8grs;3136714013757;Accueil;1.420000;1.7;2;0;;
6222;https://www.mac-peche.fr//buldo-reglable-bicouleur-30gr.jpg;buldo reglable bicouleur 30gr;3136714013771;Accueil;1.790000;2.15;0;1;;
6221;https://www.mac-peche.fr//buldo-reglable-bicouleur-15grs.jpg;buldo reglable bicouleur 15grs;3136714013764;Accueil;1.580000;1.9;8;0;;
6220;https://www.mac-peche.fr//buldo-ovale-rouge-n1-8gr.jpg;buldo ovale rouge N°1 8gr;3504875050025;Accueil;1.000000;1.2;4;0;;
6219;https://www.mac-peche.fr//buldo-ovale-rouge-n-3-30-grs.jpg;buldo ovale rouge n 3 30 grs;3504875050070;Accueil;1.460000;1.75;1;0;;
6218;https://www.mac-peche.fr//buldo-ovale-rouge-n-2-15-grs.jpg;buldo ovale rouge n 2 15 grs;3504875050049;Accueil;1.040000;1.25;0;1;;
6217;https://www.mac-peche.fr//buldo-ovale-ouge-n4-40gr.jpg;buldo ovale ouge N°4 40gr;3504875050100;Accueil;1.750000;2.1;0;1;;
6216;https://www.mac-peche.fr//buldo-ovale-cristal-15gr-reglable.jpg;buldo ovale cristal 15gr reglable;10007266;Accueil;1.750000;2.1;0;1;;
6215;https://www.mac-peche.fr//buldo-ovale-40gr-oeil.jpg;buldo ovale 40gr oeil;10007259;Accueil;1.920000;2.3;1;0;;
6214;https://www.mac-peche.fr//buldo-ovale-30gr-oeil.jpg;buldo ovale 30gr oeil;10007242;Accueil;1.580000;1.9;8;0;;
6213;https://www.mac-peche.fr//buldo-ovale-15gr-oeil.jpg;buldo ovale 15gr oeil;10007235;Accueil;1.250000;1.5;3;0;;
6212;https://www.mac-peche.fr//buldo-3-30grs.jpg;buldo 3 30grs;3504875050056;Accueil;1.420000;1.7;0;1;;
6211;https://www.mac-peche.fr//buldo-2-15grs.jpg;buldo 2 15grs;3504875050032;Accueil;1.080000;1.3;0;1;;
6210;https://www.mac-peche.fr//boule-nicoise.jpg;boule nicoise;3566969132000;Accueil;1.790000;2.15;0;1;;
6209;https://www.mac-peche.fr//bombix-truite.jpg;bombix truite;3297830036249;Accueil;4.960000;5.95;0;1;;
6208;https://www.mac-peche.fr//bombette-semi-plongeante-bleue-25-grs.jpg;bombette semi plongeante bleue 25 grs;2073100273252;Accueil;4.420000;5.3;1;0;;
6207;https://www.mac-peche.fr//bombette-semi-plongeante-bleue-10grs.jpg;bombette semi plongeante bleue 10grs;2073100273108;Accueil;3.540000;4.25;3;0;;
6206;https://www.mac-peche.fr//bombette-semi-plong-bl-10x2.jpg;bombette semi plong bl 10x2;10000090;Accueil;3.290000;3.95;0;1;;
6205;https://www.mac-peche.fr//bombette-semi-plo-bl-15x2.jpg;bombette semi plo bl 15x2;2073100273153;Accueil;3.750000;4.5;2;0;;
6204;https://www.mac-peche.fr//bombette-semi-pl-bl-20x2.jpg;bombette semi pl bl 20x2;2073100273207;Accueil;3.750000;4.5;0;1;;
6203;https://www.mac-peche.fr//bombette-plong-trans-8x2.jpg;bombette plong trans 8x2;10000076;Accueil;3.290000;3.95;4;0;;
6202;https://www.mac-peche.fr//bombette-plong-trans-10x2.jpg;bombette plong trans 10x2;10000083;Accueil;3.540000;4.25;8;0;;
6201;https://www.mac-peche.fr//bombette-pl-trans-25x2.jpg;bombette pl trans 25x2;2073100279254;Accueil;3.750000;4.5;0;1;;
6200;https://www.mac-peche.fr//bombette-pl-trans-20x2.jpg;bombette pl trans 20x2;2073100279209;Accueil;3.750000;4.5;10;0;;
6199;https://www.mac-peche.fr//bombette-marie-8gr.jpg;bombette marie 8gr;10001998;Accueil;2.920000;3.5;6;0;;
6198;https://www.mac-peche.fr//bombette-marie-20gr.jpg;bombette marie 20gr;10001523;Accueil;2.920000;3.5;0;1;;
6197;https://www.mac-peche.fr//bombette-marie-15gr.jpg;bombette marie 15gr;10001516;Accueil;2.920000;3.5;0;1;;
6196;https://www.mac-peche.fr//bombette-marie-10gr.jpg;bombette marie 10gr;10001509;Accueil;2.920000;3.5;5;0;;
6195;https://www.mac-peche.fr//bombette-flottante-noire-ailette-30grs.jpg;bombette flottante noire ailette 30grs;2073100805309;Accueil;3.250000;3.9;3;0;;
6194;https://www.mac-peche.fr//bombette-flottante-noire-ailette-25grs.jpg;bombette flottante noire ailette 25grs;2073100805255;Accueil;3.130000;3.76;3;0;;
6193;https://www.mac-peche.fr//bombette-flottante-noire-ailette-20grs.jpg;bombette flottante noire ailette 20grs;2073100805200;Accueil;2.920000;3.5;3;0;;
6192;https://www.mac-peche.fr//bombette-flottante-noire-ailette-15grs.jpg;bombette flottante noire ailette 15grs;2073100805156;Accueil;2.420000;2.9;0;1;;
6191;https://www.mac-peche.fr//bombette-flottante-6gr.jpg;bombette flottante 6gr;3297830478834;Accueil;1.500000;1.8;0;1;;
6190;https://www.mac-peche.fr//bombette-flottante-20-grammes.jpg;bombette flottante 20 grammes;3297830478865;Accueil;1.500000;1.8;0;1;;
6189;https://www.mac-peche.fr//bombette-flottante-15gr.jpg;bombette flottante 15gr;3297830478858;Accueil;1.500000;1.8;0;1;;
6188;https://www.mac-peche.fr//bombette-flottante-10-grammes.jpg;bombette flottante 10 grammes;3297830478841;Accueil;1.500000;1.8;0;1;;
6187;https://www.mac-peche.fr//bombette-flot-bl-30x2.jpg;bombette flot bl 30x2;2073100270305;Accueil;3.290000;3.95;0;1;;
6186;https://www.mac-peche.fr//bombette-flot-bl-25x2.jpg;bombette flot bl 25x2;10000106;Accueil;2.920000;3.5;8;0;;
6185;https://www.mac-peche.fr//bombette-flot-bl-20x2.jpg;bombette flot bl 20x2;2073100270206;Accueil;2.920000;3.5;11;0;;
6184;https://www.mac-peche.fr//bombette-flot-bl-15x2.jpg;bombette flot bl 15x2;2073100270152;Accueil;2.460000;2.95;6;0;;
6183;https://www.mac-peche.fr//boite-distributrice-truite.jpg;boite distributrice truite;3297830598327;Accueil;2.490000;2.99;5;0;;
6182;https://www.mac-peche.fr//boite-distributrice-gros-poisson.jpg;boite distributrice gros poisson;3297830598334;Accueil;2.490000;2.99;5;0;;
6181;https://www.mac-peche.fr//billes-polys-jaune-orange.jpg;billes polys jaune orange;3422990115385;Accueil;2.580000;3.1;1;0;;
6180;https://www.mac-peche.fr//bille-flottantes-x200.jpg;bille flottantes X200;10003992;Accueil;2.080000;2.5;9;0;;
6179;https://www.mac-peche.fr//altima-f1-600-5r1.jpg;altima f1 600/5r1;3352210530004;Cannes;283.250000;339.9;0;1;;GARBOLINO
6178;https://www.mac-peche.fr//agraffe-small-x-25.jpg;agraffe small x 25;8901724349012;Accueil;1.250000;1.5;0;1;;
6177;https://www.mac-peche.fr//agrafes-taille-cnfa3.jpg;agrafes taille cnf.a.3;10004067;Accueil;1.910000;2.29;5;0;;
6176;https://www.mac-peche.fr//agrafes-taille-2-cnfa2.jpg;agrafes taille 2 cnf.a.2;10004050;Accueil;1.660000;1.99;10;0;;
6175;https://www.mac-peche.fr//agrafes-taille-1-cnf-a1.jpg;agrafes taille 1 cnf a.1;3770005021023;Accueil;1.250000;1.5;9;0;;
6174;https://www.mac-peche.fr//5-casques-laiton-6gr.jpg;5 casques laiton 6gr;3535650039867;Accueil;5.420000;6.5;1;0;;
6173;https://www.mac-peche.fr//5-casques-laiton-4gr.jpg;5 casques laiton 4gr;3535650039768;Accueil;5.420000;6.5;3;0;;
6172;https://www.mac-peche.fr//3-boites-accessoires.jpg;3 boites accessoires;2073100510227;Accueil;6.630000;7.96;6;0;;
6171;https://www.mac-peche.fr//friendly-url-autogeneration-failed.jpg;;TRUITE;Accueil;0.000000;0;0;1;;
6170;https://www.mac-peche.fr//tresse-tn-8b-pink-135m-014mm.jpg;tresse TN 8b pink 135m 0.14mm;4027093402708;Accueil;26.580000;31.9;0;1;;
6169;https://www.mac-peche.fr//tresse-tn-8b-pink-135m-012mm.jpg;tresse TN 8b pink 135m 0.12mm;4027093402692;Accueil;29.080000;34.9;0;1;;
6168;https://www.mac-peche.fr//tresse-tn-8b-pink-135m-010mm.jpg;tresse TN 8b pink 135m 0.10mm;4027093402685;Accueil;29.920000;35.9;0;1;;
6167;https://www.mac-peche.fr//tresse-tn-8b-pink-135m-008mm.jpg;tresse TN 8b pink 135m 0.08mm;4027093402487;Accueil;33.250000;39.9;0;1;;
6166;https://www.mac-peche.fr//tresse-shinobi-verte-135m-020mm.jpg;tresse shinobi verte 135m 0.20mm;4027093287893;Accueil;12.920000;15.5;0;1;;
6165;https://www.mac-peche.fr//tresse-shinobi-verte-135m-018mm.jpg;tresse shinobi verte 135m 0.18mm;4027093287886;Accueil;12.920000;15.5;0;1;;
6164;https://www.mac-peche.fr//tresse-shinobi-verte-135m-016mm.jpg;tresse shinobi verte 135m 0.16mm;4027093287879;Accueil;14.580000;17.5;0;1;;
6163;https://www.mac-peche.fr//tresse-shinobi-verte-135m-014mm.jpg;tresse shinobi verte 135m 0.14mm;4027093287855;Accueil;14.580000;17.5;0;1;;
6162;https://www.mac-peche.fr//tresse-shinobi-verte-135m-012mm.jpg;tresse shinobi verte 135m 0.12mm;4027093287848;Accueil;14.580000;17.5;0;1;;
6161;https://www.mac-peche.fr//tresse-shinobi-jaune-135m-020mm.jpg;tresse shinobi jaune 135m 0.20mm;4027093288210;Accueil;12.920000;15.5;0;1;;
6160;https://www.mac-peche.fr//tresse-shinobi-jaune-135m-018mm.jpg;tresse shinobi jaune 135m 0.18mm;4027093288203;Accueil;12.920000;15.5;0;1;;
6159;https://www.mac-peche.fr//tresse-shinobi-jaune-135m-016mm.jpg;tresse shinobi jaune 135m 0.16mm;4027093288197;Accueil;14.580000;17.5;0;1;;
6158;https://www.mac-peche.fr//tresse-shinobi-jaune-135m-014mm.jpg;tresse shinobi jaune 135m 0.14mm;4027093288180;Accueil;14.580000;17.5;0;1;;
6157;https://www.mac-peche.fr//tresse-shinobi-jaune-135m-012mm.jpg;tresse shinobi jaune 135m 0.12mm;4027093287862;Accueil;14.580000;17.5;0;1;;
6156;https://www.mac-peche.fr//tresse-j-braid-8b-500m-24-100-dark-green.jpg;tresse j braid 8b 500m 24/100 dark green;43178133101;Tresses;41.630000;49.96;1;0;;DAIWA
6155;https://www.mac-peche.fr//tresse-j-braid-8b-500m-22-100-dark-green.jpg;tresse j braid 8b 500m 22/100 dark green;43178133095;Tresses;41.630000;49.96;2;0;;DAIWA
